Time,Region,Good,value
2029,NEU,Plastic Waste,0.117638983842743
2029,MEA,Plastic Waste,0.00632944469119393
2029,REF,Plastic Waste,0.00967501645088863
2029,CAZ,Plastic Waste,0.0257337324172005
2029,CHA,Plastic Waste,0.0409742115855552
2029,IND,Plastic Waste,0.0133862742699558
2029,JPN,Plastic Waste,0.00118805248962003
2029,USA,Plastic Waste,0.0529846062972336
2030,LAM,Plastic Waste,0.0357143416575803
2030,OAS,Plastic Waste,0.168890568589134
2030,SSA,Plastic Waste,0.0059633314284811
2030,EUR,Plastic Waste,0.521521436280415
2030,NEU,Plastic Waste,0.117638983842743
2030,MEA,Plastic Waste,0.00632944469119393
2030,REF,Plastic Waste,0.00967501645088863
2030,CAZ,Plastic Waste,0.0257337324172005
2030,CHA,Plastic Waste,0.0409742115855552
2030,IND,Plastic Waste,0.0133862742699558
2030,JPN,Plastic Waste,0.00118805248962003
2030,USA,Plastic Waste,0.0529846062972336
2031,LAM,Plastic Waste,0.0357143416575803
2031,OAS,Plastic Waste,0.168890568589134
2031,SSA,Plastic Waste,0.0059633314284811
2031,EUR,Plastic Waste,0.521521436280415
2031,NEU,Plastic Waste,0.117638983842743
2031,MEA,Plastic Waste,0.00632944469119393
2031,REF,Plastic Waste,0.00967501645088863
2031,CAZ,Plastic Waste,0.0257337324172005
2031,CHA,Plastic Waste,0.0409742115855552
2031,IND,Plastic Waste,0.0133862742699558
2031,JPN,Plastic Waste,0.00118805248962003
2031,USA,Plastic Waste,0.0529846062972336
2032,LAM,Plastic Waste,0.0357143416575803
2032,OAS,Plastic Waste,0.168890568589134
2032,SSA,Plastic Waste,0.0059633314284811
2032,EUR,Plastic Waste,0.521521436280415
2032,NEU,Plastic Waste,0.117638983842743
2032,MEA,Plastic Waste,0.00632944469119393
2032,REF,Plastic Waste,0.00967501645088863
2032,CAZ,Plastic Waste,0.0257337324172005
2032,CHA,Plastic Waste,0.0409742115855552
2032,IND,Plastic Waste,0.0133862742699558
2032,JPN,Plastic Waste,0.00118805248962003
2032,USA,Plastic Waste,0.0529846062972336
2033,LAM,Plastic Waste,0.0357143416575803
2033,OAS,Plastic Waste,0.168890568589134
2033,SSA,Plastic Waste,0.0059633314284811
2033,EUR,Plastic Waste,0.521521436280415
2033,NEU,Plastic Waste,0.117638983842743
2033,MEA,Plastic Waste,0.00632944469119393
2033,REF,Plastic Waste,0.00967501645088863
2033,CAZ,Plastic Waste,0.0257337324172005
2033,CHA,Plastic Waste,0.0409742115855552
2033,IND,Plastic Waste,0.0133862742699558
2033,JPN,Plastic Waste,0.00118805248962003
2033,USA,Plastic Waste,0.0529846062972336
2034,LAM,Plastic Waste,0.0357143416575803
2034,OAS,Plastic Waste,0.168890568589134
2034,SSA,Plastic Waste,0.0059633314284811
2034,EUR,Plastic Waste,0.521521436280415
2034,NEU,Plastic Waste,0.117638983842743
2034,MEA,Plastic Waste,0.00632944469119393
2034,REF,Plastic Waste,0.00967501645088863
2034,CAZ,Plastic Waste,0.0257337324172005
2034,CHA,Plastic Waste,0.0409742115855552
2034,IND,Plastic Waste,0.0133862742699558
2034,JPN,Plastic Waste,0.00118805248962003
2034,USA,Plastic Waste,0.0529846062972336
2035,LAM,Plastic Waste,0.0357143416575803
2035,OAS,Plastic Waste,0.168890568589134
2035,SSA,Plastic Waste,0.0059633314284811
2035,EUR,Plastic Waste,0.521521436280415
2035,NEU,Plastic Waste,0.117638983842743
2035,MEA,Plastic Waste,0.00632944469119393
2035,REF,Plastic Waste,0.00967501645088863
2035,CAZ,Plastic Waste,0.0257337324172005
2035,CHA,Plastic Waste,0.0409742115855552
2035,IND,Plastic Waste,0.0133862742699558
2035,JPN,Plastic Waste,0.00118805248962003
2035,USA,Plastic Waste,0.0529846062972336
2036,LAM,Plastic Waste,0.0357143416575803
2036,OAS,Plastic Waste,0.168890568589134
2036,SSA,Plastic Waste,0.0059633314284811
2036,EUR,Plastic Waste,0.521521436280415
2036,NEU,Plastic Waste,0.117638983842743
2036,MEA,Plastic Waste,0.00632944469119393
2036,REF,Plastic Waste,0.00967501645088863
2036,CAZ,Plastic Waste,0.0257337324172005
2036,CHA,Plastic Waste,0.0409742115855552
2036,IND,Plastic Waste,0.0133862742699558
2036,JPN,Plastic Waste,0.00118805248962003
2036,USA,Plastic Waste,0.0529846062972336
2037,LAM,Plastic Waste,0.0357143416575803
2037,OAS,Plastic Waste,0.168890568589134
2037,SSA,Plastic Waste,0.0059633314284811
2037,EUR,Plastic Waste,0.521521436280415
2037,NEU,Plastic Waste,0.117638983842743
2037,MEA,Plastic Waste,0.00632944469119393
2037,REF,Plastic Waste,0.00967501645088863
2037,CAZ,Plastic Waste,0.0257337324172005
2037,CHA,Plastic Waste,0.0409742115855552
2037,IND,Plastic Waste,0.0133862742699558
2037,JPN,Plastic Waste,0.00118805248962003
2037,USA,Plastic Waste,0.0529846062972336
2038,LAM,Plastic Waste,0.0357143416575803
2038,OAS,Plastic Waste,0.168890568589134
2038,SSA,Plastic Waste,0.0059633314284811
2038,EUR,Plastic Waste,0.521521436280415
2038,NEU,Plastic Waste,0.117638983842743
2038,MEA,Plastic Waste,0.00632944469119393
2038,REF,Plastic Waste,0.00967501645088863
2038,CAZ,Plastic Waste,0.0257337324172005
2038,CHA,Plastic Waste,0.0409742115855552
2038,IND,Plastic Waste,0.0133862742699558
2038,JPN,Plastic Waste,0.00118805248962003
2038,USA,Plastic Waste,0.0529846062972336
2039,LAM,Plastic Waste,0.0357143416575803
2039,OAS,Plastic Waste,0.168890568589134
