Material,Time,value
PUR,2058,0.6
PUR,2059,0.6
PUR,2060,0.6
PUR,2061,0.6
PUR,2062,0.6
PUR,2063,0.6
PUR,2064,0.6
PUR,2065,0.6
PUR,2066,0.6
PUR,2067,0.6
PUR,2068,0.6
PUR,2069,0.6
PUR,2070,0.6
PUR,2071,0.6
PUR,2072,0.6
PUR,2073,0.6
PUR,2074,0.6
PUR,2075,0.6
PUR,2076,0.6
PUR,2077,0.6
PUR,2078,0.6
PUR,2079,0.6
PUR,2080,0.6
PUR,2081,0.6
PUR,2082,0.6
PUR,2083,0.6
PUR,2084,0.6
PUR,2085,0.6
PUR,2086,0.6
PUR,2087,0.6
PUR,2088,0.6
PUR,2089,0.6
PUR,2090,0.6
PUR,2091,0.6
PUR,2092,0.6
PUR,2093,0.6
PUR,2094,0.6
PUR,2095,0.6
PUR,2096,0.6
PUR,2097,0.6
PUR,2098,0.6
PUR,2099,0.6
PUR,2100,0.6
PVC,1950,0.2
PVC,1951,0.2
PVC,1952,0.2
PVC,1953,0.2
PVC,1954,0.2
PVC,1955,0.2
PVC,1956,0.2
PVC,1957,0.2
PVC,1958,0.2
PVC,1959,0.2
PVC,1960,0.2
PVC,1961,0.2
PVC,1962,0.2
PVC,1963,0.2
PVC,1964,0.2
PVC,1965,0.2
PVC,1966,0.2
PVC,1967,0.2
PVC,1968,0.2
PVC,1969,0.2
PVC,1970,0.2
PVC,1971,0.2
PVC,1972,0.2
PVC,1973,0.2
PVC,1974,0.2
PVC,1975,0.2
PVC,1976,0.2
PVC,1977,0.2
PVC,1978,0.2
PVC,1979,0.2
PVC,1980,0.2
PVC,1981,0.2
PVC,1982,0.2
PVC,1983,0.2
PVC,1984,0.2
PVC,1985,0.2
PVC,1986,0.2
PVC,1987,0.2
PVC,1988,0.2
PVC,1989,0.2
PVC,1990,0.2
PVC,1991,0.2
PVC,1992,0.2
PVC,1993,0.2
PVC,1994,0.2
PVC,1995,0.2
PVC,1996,0.2
PVC,1997,0.2
PVC,1998,0.2
PVC,1999,0.2
PVC,2000,0.2
PVC,2001,0.2
PVC,2002,0.2
PVC,2003,0.2
PVC,2004,0.2
PVC,2005,0.2
PVC,2006,0.2
PVC,2007,0.2
PVC,2008,0.2
PVC,2009,0.2
PVC,2010,0.2
PVC,2011,0.2
PVC,2012,0.2
PVC,2013,0.2
PVC,2014,0.2
PVC,2015,0.2
PVC,2016,0.2
PVC,2017,0.2
PVC,2018,0.2
